[12Mar2024 00:00:28.959] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=67, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.959] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=67, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.960] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=67, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.960] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=68, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.961] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=68, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.961] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=68, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.962] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=68, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.962] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6785, y=69, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.962] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6784, y=69, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.963] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=69, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.963] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=69, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.964] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=69, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.964] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=69, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.965] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=69, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.965] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=69, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.966] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=69, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.966] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=69, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.967] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6785, y=70, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.967] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6784, y=70, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.968] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=70, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.968] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6758, y=70, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.969] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=70, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.969] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6758, y=70, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.970] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=70, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.970] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6757, y=70, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.970] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=70, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.971] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6757, y=70, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.972] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6785, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.972] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [424, -183], pos: BlockPos{x=6784, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.973] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6783, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.973] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6782, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.973] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6781, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.974] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6780, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.974] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6779, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.975] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6778, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.975] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6777, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.975] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6776, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.976] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6775, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.976] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6774, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.976] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6773, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.976] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6772, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.977] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6771, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.977] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6771, y=71, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.977] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6771, y=71, z=-2915}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.977] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6770, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.978] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6770, y=71, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.978] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6770, y=71, z=-2915}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.978] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6769, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.978] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6769, y=71, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.978] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6769, y=71, z=-2915}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.979] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6768, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.979] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6768, y=71, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.979] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [423, -183], pos: BlockPos{x=6768, y=71, z=-2915}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.979] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6767, y=71, z=-2892}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.980] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6767, y=71, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.980] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6767, y=71, z=-2894}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.980] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6767, y=71, z=-2895}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.980] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6767, y=71, z=-2896}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.980] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2897}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.981] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2898}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.981] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2899}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.981] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2900}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.981] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2901}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.981] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2902}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.982] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2903}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
